"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"72","00000000000E4C27","Viipurin lääni","","Huono","Mies","Naimisissa"
"73","0000000000075D74","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"74","0000000000084F38","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"75","00000000000E6BCC","Viipurin lääni","","Muu","Mies","Naimisissa"
"76","00000000000E6AFB","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"77","00000000000E8573","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"78","00000000000E6929","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"79","00000000000E7DD1","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"80","000000000007CC55","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"81","00000000000E61CB","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"82","00000000000CA3FD","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"83","00000000001261F5","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"84","000000000001CAF4","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"85","000000000014BC1C","Viipurin lääni","Venäläinen","Ei tietoa","Mies","Naimisissa"
"86","000000000003626C","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"87","00000000000EA765","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"88","00000000000AFF19","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"89","00000000001237B0","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"90","00000000000DD610","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"91","00000000000AE9A1","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"92","00000000000D68DF","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"93","000000000003454A","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"94","00000000000D696E","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"95","0000000000120D6F","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"96","0000000000092B61","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"97","00000000001129BE","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"98","00000000001339A6","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
"99","000000000009A7B8","Viipurin lääni","","Ei tietoa","Mies","Naimisissa"
"100","00000000000DCD91","Viipurin lääni","","Ei tietoa","Mies","Naimaton"
